,x,Lives in a communal establishment,Density,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Arab,Other ethnic group: Any other ethnic group,Dependent children in household: All ages,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked,Long-term unemployed,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
22,E07000031,3.00,0.70,95.60,0.30,0.00,2.40,0.20,0.10,0.20,0.10,0.20,0.00,0.10,0.30,0.20,0.10,0.10,0.00,0.00,0.10,22.20,26.10,53.90,0.20,1.80,9.20,8.80,11.50,20.70,52.80,15.00,0.00,0.00,0.00,0.00,0.00,15.80,35.40,14.60,2.00,2.50,20.40,3.00,2.30,2.60,1.20,0.50,0.60,0.10,0.70,11.50,20.70,52.80,15.00
23,E07000066,0.60,15.90,89.50,0.80,0.50,1.90,0.60,0.30,0.40,0.40,1.20,0.20,0.20,0.30,0.80,1.90,0.50,0.20,0.10,0.20,30.90,32.10,47.90,0.10,2.90,9.70,7.30,9.80,17.70,58.80,13.70,0.00,0.00,0.00,0.00,0.00,14.20,40.30,9.60,4.60,2.40,13.90,3.40,5.70,3.90,1.80,1.30,0.90,0.60,2.00,9.80,17.70,58.80,13.70
24,E07000084,0.80,2.60,88.20,0.80,0.10,3.80,0.60,0.20,0.50,0.30,1.50,0.20,0.20,0.70,1.40,0.80,0.30,0.10,0.10,0.20,31.30,29.60,52.50,0.20,2.60,9.30,5.90,8.90,15.90,61.30,13.90,0.00,0.00,0.00,0.00,0.00,13.40,47.90,9.60,3.20,2.80,12.50,2.70,4.00,2.40,1.40,0.80,0.70,0.30,1.20,8.90,15.90,61.30,13.90
25,E07000171,2.60,1.80,94.50,0.30,0.10,2.40,0.40,0.10,0.20,0.20,0.40,0.30,0.10,0.20,0.20,0.20,0.20,0.10,0.00,0.10,28.10,28.50,50.80,0.20,2.50,10.00,7.90,9.30,21.00,56.00,13.70,0.00,0.00,0.00,0.00,0.00,15.30,37.90,8.30,4.00,2.40,17.10,3.50,3.80,5.10,2.70,1.30,0.70,0.60,1.50,9.30,21.00,56.00,13.70
26,E06000022,3.40,5.10,90.10,0.70,0.00,3.80,0.50,0.20,0.50,0.40,0.60,0.10,0.10,1.10,0.70,0.30,0.40,0.10,0.20,0.20,26.00,37.30,45.70,0.20,1.80,8.20,6.70,12.80,20.40,53.80,13.00,0.00,0.00,0.00,0.00,0.00,14.40,35.50,11.00,2.70,5.10,13.70,10.10,3.30,2.80,1.40,0.70,0.60,0.30,1.00,12.80,20.40,53.80,13.00
27,E08000034,1.30,10.30,76.70,0.60,0.00,1.80,1.20,0.20,0.60,0.30,4.90,9.90,0.20,0.30,0.70,0.60,1.10,0.20,0.30,0.40,30.90,32.40,48.40,0.20,2.80,9.30,6.80,9.50,21.50,57.60,11.30,0.00,0.00,0.00,0.00,0.00,14.50,36.50,9.00,4.70,3.50,14.30,5.70,5.00,4.40,2.40,1.40,0.80,0.90,1.90,9.50,21.50,57.60,11.30
28,E09000032,1.70,89.60,53.30,2.50,0.10,15.50,1.50,0.70,1.30,1.50,2.80,3.20,0.50,1.20,3.20,4.80,4.00,1.80,0.80,1.30,24.30,54.20,32.60,0.60,2.50,6.50,3.70,6.30,11.80,59.80,22.10,0.00,0.00,0.00,0.00,0.00,7.80,50.90,12.10,3.80,3.30,6.20,6.00,4.30,2.90,2.70,0.70,0.70,0.60,1.50,6.30,11.80,59.80,22.10
29,E07000007,1.60,5.30,75.90,0.90,0.10,4.40,1.30,0.20,0.80,0.50,1.70,7.60,0.30,0.60,1.80,1.00,2.00,0.50,0.20,0.30,31.40,31.10,52.40,0.10,2.40,7.80,6.10,10.40,17.40,56.80,15.40,0.00,0.00,0.00,0.00,0.00,12.90,41.60,12.20,3.20,3.60,12.70,5.10,4.90,2.00,1.80,0.80,0.70,0.50,1.20,10.40,17.40,56.80,15.40
30,E07000006,1.60,4.70,77.10,1.70,0.40,5.10,0.60,0.20,1.10,0.50,7.10,1.40,0.30,0.80,1.70,0.50,0.40,0.10,0.30,0.70,30.50,27.00,55.50,0.20,2.00,7.70,7.70,9.80,15.80,55.30,19.10,0.00,0.00,0.00,0.00,0.00,11.80,41.10,14.30,2.70,2.40,14.50,4.50,5.10,1.80,1.80,0.70,0.70,0.30,0.90,9.80,15.80,55.30,19.10
31,E09000006,0.80,20.60,77.40,1.40,0.20,5.30,1.30,0.40,1.00,0.90,2.00,0.30,0.40,0.90,1.60,3.20,2.10,0.70,0.30,0.60,30.40,33.60,48.30,0.20,2.70,8.30,6.90,9.40,17.30,58.40,15.00,0.00,0.00,0.00,0.00,0.00,13.00,41.10,11.90,3.90,2.50,13.30,4.80,4.80,2.70,1.90,1.00,0.80,0.50,1.60,9.40,17.30,58.40,15.00
