"","area","male.le","female.le"
"286","E08000030",77.9,82.3
"287","E08000031",77.4,81.7
"288","E08000032",77.5,81.5
"289","E08000033",77.5,82.2
"290","E08000034",78.2,82
"291","E08000035",78,82.1
"292","E08000036",77.8,81.3
"293","E09000002",77.6,82
"294","E09000003",81.4,84.5
"295","E09000004",80.3,84.4
"296","E09000005",79.9,84.5
"297","E09000006",81,84.5
"298","E09000007",80.5,85.4
"299","E09000008",79.2,83.2
"300","E09000009",79.2,84.2
"301","E09000010",80.5,84
"302","E09000011",78.5,82.2
"303","E09000012",77.7,82.8
"304","E09000013",79.1,83.3
"305","E09000014",79.4,83.8
"306","E09000015",82,85.6
"307","E09000016",79.3,83.8
"308","E09000017",79.9,83.5
"309","E09000018",79.5,83.3
"310","E09000019",77.8,83.2
"311","E09000020",82.1,85.8
"312","E09000021",81.4,84.8
"313","E09000022",78.2,83
"314","E09000023",78.2,82.6
"315","E09000024",80.2,84.2
"316","E09000025",77.7,82.6
"317","E09000026",80.3,84
"318","E09000027",81.7,85.9
"319","E09000028",78,83.1
"320","E09000029",80.5,84
"321","E09000030",77.1,82
"322","E09000031",79.2,83.4
"323","E09000032",79.1,83.2
"324","E09000033",81.1,85.1
